#,Projet,Statut,Commune,Département,Région,Opérateur,Surface terrain,Surface bâtiment,Puissance,Source,Note,Lien
31,DataOne Grenoble,En construction,Eybens,Isère,Auvergne-Rhône-Alpes,DataOne,7 ha (70 000 m²),23 200 m²,30 MW (engagé) / 110 MW (cible),https://dataone.eu/,,https://guidedatacenter.fr/carte/dataone-grenoble
32,Sesterce Rovaltain,En instruction,Alixan,Drôme,Auvergne-Rhône-Alpes,Sesterce,~10 ha,,40 MW (initial) / 80 MW (extensible),https://www.lyoncapitale.fr/actualite/drome-justice-suspend-supercalculateur-sesterce-alixan,,https://guidedatacenter.fr/carte/sesterce-rovaltain
33,Projet de data center — Bordeaux,Potentiel,Bordeaux,Gironde,Nouvelle-Aquitaine,Non identifié publiquement,~40 ha,,400 MW,https://france3-regions.franceinfo.fr/nouvelle-aquitaine/gironde/bordeaux/pas-encore-sorti-de-terre-le-projet-de-data-center-geant-en-gironde-inquiete-deja-les-habitants-3367348.html,,https://guidedatacenter.fr/carte/bordeaux
34,H&DC Manduel,Annoncé,Manduel,Gard,Occitanie,H&DC,68 ha,,,https://www.radiofrance.fr/francebleu/podcasts/l-info-d-ici-ici-gard-lozere/le-futur-amenagement-de-la-zone-magna-porta-a-manduel-devoile-6756100,,https://guidedatacenter.fr/carte/h&dc-manduel
35,TCS Blagnac,En instruction,Blagnac,Haute-Garonne,Occitanie,TCS,,,,,,https://guidedatacenter.fr/carte/tcs-blagnac
36,Projet de data center — Foix,Potentiel,Foix,Ariège,Occitanie,Non identifié publiquement,,,,,,https://guidedatacenter.fr/carte/foix
37,Digital Realty MRS6,En instruction,Bouc-Bel-Air,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Digital Realty,~11 ha (27 acres),20 000 m²,50 MW,https://www.digitalrealty.com/about/projects/mrs6,,https://guidedatacenter.fr/carte/digital-realty-mrs6
38,Telehouse Cézanne,En instruction,Les Pennes-Mirabeau,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Telehouse,6 ha,60 000 m²,50 MW,https://www.datacenterdynamics.com/en/news/public-inquiry-opens-into-planned-telehouse-data-center-in-the-south-of-france,,https://guidedatacenter.fr/carte/telehouse-cezanne
39,Digital Realty MRS5,En construction,Marseille,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Digital Realty,"~11 000 m² (2,7 acres)",11 000 m²,22 MW,https://www.digitalrealty.com/data-centers/emea/marseille/mrs5,,https://guidedatacenter.fr/carte/digital-realty-mrs5
40,Opcore DC5 et DC6,En instruction,Saint-Ouen-l'Aumône,Val-d'Oise,Île-de-France,Opcore,,17 000 m² (DC5),24 MW (DC5),https://www.scaleway.com/en/blog/introducing-dc5-hyper-scale-mechanical-cooling-datacenter,,https://guidedatacenter.fr/carte/opcore-dc5-et-dc6
41,Equinix Hyperscale 2 PA12 et Equinix PA16,En construction,Argenteuil,Val-d'Oise,Île-de-France,Equinix,17 622 m² (PA16),24 000 m² (PA12),"33,6 MW IT (PA12) / ~55 MW (PA16)",https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/2025-04-23-avis_projet_dc_pa_16_argenteuil_equinix_avis_delibere_.pdf,,https://guidedatacenter.fr/carte/equinix-hyperscale-2-pa12-et-equinix-pa16
42,Altarea Orgeval,Potentiel,Orgeval,Yvelines,Île-de-France,Altarea,7 ha,,,https://www.theia.global/article/altarea-plans-data-center-on-former-art-de-vivre-mall-site-in-orgeval-by-2028-17ee6d16,,https://guidedatacenter.fr/carte/altarea-orgeval
43,Digital Dugny,En construction,Dugny,Seine-Saint-Denis,Île-de-France,Non identifié publiquement,,65 000+ m² IT,176 MW IT,https://www.digitalrealty.com/about/projects/dugny-digital-hub,,https://guidedatacenter.fr/carte/digital-dugny
44,Segro Le Bourget,En instruction,Le Bourget,Seine-Saint-Denis,Île-de-France,Segro,"3,7 ha (35 000 m²)",25 484 m²,75 MW,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/2025_06_30_bourget_centre_de_donnees_segro_avis_signe.pdf,,https://guidedatacenter.fr/carte/segro-le-bourget
45,Goodman PAR 01,En construction,Tremblay-en-France,Seine-Saint-Denis,Île-de-France,Goodman,"5,3 ha (53 000 m²)",,72 MW IT (105 MW sécurisé),https://fr.goodman.com/en/our-properties/properties-for-lease/par01,,https://guidedatacenter.fr/carte/goodman-par-01
46,SNC DataHills,En construction,Aulnay-sous-Bois,Seine-Saint-Denis,Île-de-France,SNC DataHills,"12,1 ha",,240 MW,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/2025-02-12-aulnay-sous-bois_centre_de_donnees_data_hills_avis_adopte_-__1_.pdf,,https://guidedatacenter.fr/carte/snc-datahills
47,TH2 Paris Voltaire,En construction,Paris 11e,Paris,Île-de-France,Non identifié publiquement,,7 000 m²,20 MW,https://www.telehouse.fr/connectivite-data-center-telehouse/france/paris/telehouse-paris-voltaire,,https://guidedatacenter.fr/carte/th2-paris-voltaire
48,Equinix PA15,En instruction,Meudon,Hauts-de-Seine,Île-de-France,Equinix,22 178 m²,,,https://www.registre-numerique.fr/datacenter-meudon,,https://guidedatacenter.fr/carte/equinix-pa15
49,NDC Vélizy,En construction,Vélizy-Villacoublay,Yvelines,Île-de-France,NDC,,4 545 m²,"19,86 MW",https://www.datacentermap.com/france/paris/ndc-velizy,,https://guidedatacenter.fr/carte/ndc-velizy
50,Icade DC Rungis,En instruction,Rungis,Val-de-Marne,Île-de-France,Icade,107 944 m²,15 940 m²,130 MW,https://www.mrae.developpement-durable.gouv.fr/IMG/pdf/2025-05-07_rungis_94_projet_de_datacenter_dicade_delibere.pdf,,https://guidedatacenter.fr/carte/icade-dc-rungis
51,Projet de data center — Vitry-sur-Seine,Potentiel,Vitry-sur-Seine,Val-de-Marne,Île-de-France,Non identifié publiquement,,,,,,https://guidedatacenter.fr/carte/vitry-sur-seine
52,Segro Parc des Petits Carreaux,En instruction,Bonneuil-sur-Marne et Sucy-en-Brie,Val-de-Marne,Île-de-France,Segro,34 048 m² (15 ha parc),13 800 m²,70 MW IT,https://www.val-de-marne.gouv.fr/contenu/telechargement/25777/197969/file/Rapport%20data%20Center%20Bonneuil-sur-marne.pdf,,https://guidedatacenter.fr/carte/segro-parc-des-petits-carreaux
53,Projet de data center — Orly,Potentiel,Orly,Val-de-Marne,Île-de-France,Non identifié publiquement,,,,,,https://guidedatacenter.fr/carte/orly
54,Goodman PAR II A et PAR II B,En construction,Villeneuve-Saint-Georges,Val-de-Marne,Île-de-France,Goodman,,,,,,https://guidedatacenter.fr/carte/goodman-par-ii-a-et-par-ii-b
55,AWS CyrusOne,En instruction,Wissous,Essonne,Île-de-France,AWS / CyrusOne,120 acres (~485 ha) zone,52 240 m² (10 396 m² IT),27 MW IT (60 MW max),https://www.cyrusone.com/data-centers/emea/paris-france,,https://guidedatacenter.fr/carte/aws-cyrusone
56,Digital Realty Les Ulis,En construction,Les Ulis,Essonne,Île-de-France,Digital Realty,21 655 m² (PAR13),21 700 m² (PAR13),"10,2 MW IT (80 MW campus)",https://dcpulse.com/project/digital-realty-par13-paris-datacenter,,https://guidedatacenter.fr/carte/digital-realty-les-ulis
57,Colt Paris 5 et Paris 6,En instruction,Les Ulis,Essonne,Île-de-France,Colt,"21 450 m² (5,3 acres)",,55 MW IT (85 MW sécurisé),https://www.coltdatacentres.net/en-GB/our-locations/data-centre-locations-europe/paris-5-and-6,,https://guidedatacenter.fr/carte/colt-paris-5-et-paris-6
58,"Colt Paris 2, Paris 3 et Paris 4",En construction,Villebon-sur-Yvette,Essonne,Île-de-France,Colt,"50 585 m² (12,5 acres)",21 640 m² (PAR2),120 MW IT total,https://www.coltdatacentres.net/en-GB/our-locations/data-centre-locations-europe/paris-2,,"https://guidedatacenter.fr/carte/colt-paris-2,-paris-3-et-paris-4"
59,Data4 PAR 1 et PAR 2,En construction,Marcoussis,Essonne,Île-de-France,Data4,PAR01: 110 ha / PAR02: 1 ha,PAR01: ~4 645 m²,PAR01: 250 MW / PAR02: 5 MW,https://www.data4group.com/data-center-paris-france/,,https://guidedatacenter.fr/carte/data4-par-1-et-par-2
60,Data4 PAR 03,En construction,Nozay,Essonne,Île-de-France,Data4,22 ha,,250 MW,https://www.data4group.com/data-center-paris-france/,,https://guidedatacenter.fr/carte/data4-par-03
61,CloudHQ Lisses CDG 2,En construction,Lisses,Essonne,Île-de-France,CloudHQ,"13,7 ha",83 613 m²,"148,8 MW",https://cloudhq.com/campus/cdg-campus/,,https://guidedatacenter.fr/carte/cloudhq-lisses-cdg-2
62,"Campus NTT LCP-FR-DC1, DC2 et DC3",En construction,Corbeil-Essonnes et Le Coudray-Montceaux,Essonne,Île-de-France,NTT,"14,4 ha",~50 000 m² IT,84 MW (210 MW extensible),https://www.channelnews.fr/ntt-implante-son-premier-campus-de-datacenters-en-france-132661,,"https://guidedatacenter.fr/carte/campus-ntt-lcp-fr-dc1,-dc2-et-dc3"
63,Campus IA Mistral AI,Annoncé,Fouju,Seine-et-Marne,Île-de-France,Mistral AI,~90 ha (89 ha),"33,33 ha emprise","848 MW IT (1,4 GW réseau)",https://www.seine-et-marne.gouv.fr/contenu/telechargement/71752/584548/file/2026%2004%2008%20Avis%20MRAe.pdf,,https://guidedatacenter.fr/carte/campus-ia-mistral-ai
64,OpCore Montereau-Vallée-de-la-Seine,Potentiel,Vernou-la-Celle-sur-Seine et La Grande-Paroisse,Seine-et-Marne,Île-de-France,OpCore,"20,6 ha",,700 MW (réseau autorisé),https://www.edf.fr/en/the-edf-group/dedicated-sections/journalists/all-press-releases/edf-and-opcore-to-develop-a-high-power-data-center-on-site-of-former-thermal-power-plant-in-montereau-vallee-de-la-seine-wider-paris-metropolitan-region,,https://guidedatacenter.fr/carte/opcore-montereau-vallee-de-la-seine
65,Theia Energy — friche Thomson,Annoncé,Bagneaux-sur-Loing,Seine-et-Marne,Île-de-France,Theia Energy,4 ha,20 720 m²,,https://datamagz.com/data-center-planned-on-former-thomson-factory-site-south-of-paris-with-heat-reuse-for-agriculture/,,https://guidedatacenter.fr/carte/theia-energy-—-friche-thomson
66,SoftBank — Bouchain,En construction,Bouchain,Nord,Hauts-de-France,SoftBank,Site centrale EDF (585 MW CCGT + 250 MW charbon),,400 MW,https://www.datacenterdynamics.com/en/news/edf-selects-softbank-and-eclairion-to-deliver-ai-data-center-projects-at-former-power-stations-in-france,"Projet confirmé par EDF AMI (2026), absent de la carte guidatacenter.fr",https://guidedatacenter.fr/carte/softbank-—-bouchain
67,Data center La Chapelle d'Armentière,En instruction,La Chapelle d'Armentière,Nord,Hauts-de-France,Non identifié publiquement,,150 000 m²,,https://www.lavoixdunord.fr/1718320/article/2026-07-03/un-datacenter-de-150-000-m2-est-en-projet-la-chapelle-d-armentieres-voici-ce-que,"Projet confirmé par La Voix du Nord (juil 2026), absent de la carte guidatacenter.fr",https://guidedatacenter.fr/carte/data-center-la-chapelle-darmentiere
68,Data center Lachelle,En instruction,Lachelle,Oise,Hauts-de-France,SCI Alyssa / PKM Logistique,,,~300 MW (équivalent Rantigny),https://actu.fr/hauts-de-france/lachelle_60337/un-deuxieme-data-center-deja-en-projet-dans-l-oise-cette-commune-de-800-habitants-visee_64687264.html,"2ème DC dans l'Oise, même porteur que Rantigny, absent de la carte guidatacenter.fr",https://guidedatacenter.fr/carte/data-center-lachelle
69,H&DC Dardilly,En instruction,Dardilly,Métropole de Lyon,Auvergne-Rhône-Alpes,H&DC,,,18 MW,https://lafibre.info/datacenter/carte-des-projets-de-data-centers-en-cours,"Foncier sécurisé, absent de la carte guidatacenter.fr",https://guidedatacenter.fr/carte/h&dc-dardilly
70,EDF Creys-Mépieu,En instruction,Creys-Mépieu,Isère,Auvergne-Rhône-Alpes,EDF (CEI),,,,https://www.edf.fr/en/the-edf-group/supporting-our-clients/cei-data-centers,"CEI lancé 3 juil 2026, absent de la carte guidatacenter.fr",https://guidedatacenter.fr/carte/edf-creys-mepieu
